Index,Name,Position,Age,Team,Birth Date
48,Chris Boucher,Forward,32,TOR,1993-01-11
49,Jamaree Bouyea,Guard,25,MIL,1999-06-27
50,Tony Bradley,Center-Forward,27,IND,1998-01-08
51,Malaki Branham,Forward,22,SAS,2003-05-12
52,Christian Braun,Guard,24,DEN,2001-04-17
53,Jalen Bridges,Forward,24,PHX,2001-05-14
54,Mikal Bridges,Guard-Forward,28,NYK,1996-08-30
55,Miles Bridges,Forward,27,CHA,1998-03-21
56,Oshae Brissett,Forward-Guard,26,FA,1998-06-20
57,Malcolm Brogdon,Guard,32,WAS,1992-12-11
58,Dillon Brooks,Guard-Forward,29,HOU,1996-01-22
59,Keion Brooks Jr.,Forward,24,NOP,2000-08-07
60,Bruce Brown,Guard-Forward,28,NOP,1996-08-15
61,Jaylen Brown,Guard-Forward,28,BOS,1996-10-24
62,Kobe Brown,Forward,25,LAC,2000-01-01
63,Moses Brown,Center,25,FA,1999-10-13
64,Jalen Brunson,Guard,28,NYK,1996-08-31
65,Thomas Bryant,Center-Forward,27,IND,1997-07-31
66,Kobe Bufkin,Guard,21,ATL,2003-09-21
67,Alec Burks,Guard,33,MIA,1991-07-20
68,Jared Butler,Guard,24,PHI,2000-08-25
69,Jimmy Butler III,Forward,35,GSW,1989-09-14
70,Matas Buzelis,Forward,20,CHI,2004-10-13
71,Jamal Cain,Forward,26,NOP,1999-03-20
72,Kentavious Caldwell-Pope,Guard,32,ORL,1993-02-18
73,Toumani Camara,Forward,25,POR,2000-05-08
74,Clint Capela,Center,31,ATL,1994-05-18
75,Branden Carlson,Center,25,OKC,1999-06-14
76,Bub Carrington,Guard,19,WAS,2005-07-21
77,Devin Carter,Guard,23,SAC,2002-03-18
78,Jevon Carter,Guard,29,CHI,1995-09-14
79,Wendell Carter Jr.,Center-Forward,26,ORL,1999-04-16
80,D.J. Carton,Guard,24,FA,2000-08-05
81,Alex Caruso,Guard,31,OKC,1994-02-28
82,Stephon Castle,Guard,20,SAS,2004-11-01
83,Colin Castleton,Center,25,TOR,2000-05-25
84,Julian Champagnie,Forward,23,SAS,2001-06-29
85,Justin Champagnie,Guard-Forward,23,WAS,2001-06-29
86,Ulrich Chomche,Center,19,TOR,2005-12-30
87,Cam Christie,Guard,19,LAC,2005-07-24
88,Max Christie,Guard,22,DAL,2003-02-10
89,Josh Christopher,Guard,23,MIA,2001-12-08
90,Sidy Cissoko,Guard,21,POR,2004-04-02
91,Jaylen Clark,Guard,23,MIN,2001-10-13
92,Brandon Clarke,Forward,28,MEM,1996-09-19
93,Jordan Clarkson,Guard,33,UTA,1992-06-07
94,Nic Claxton,Center,26,BKN,1999-04-17
95,Donovan Clingan,Center,21,POR,2004-02-23
96,Noah Clowney,Forward-Center,20,BKN,2004-07-14
97,Amir Coffey,Guard-Forward,27,LAC,1997-06-17
98,Isaiah Collier,Guard,20,UTA,2004-10-08
99,John Collins,Forward-Center,27,UTA,1997-09-23
100,Yuri Collins,Guard,24,FA,2001-03-07
101,Zach Collins,Forward-Center,27,CHI,1997-11-19
102,Mike Conley,Guard,37,MIN,1987-10-11
103,Pat Connaughton,Guard,32,MIL,1993-01-06
104,Bilal Coulibaly,Guard,20,WAS,2004-07-26
105,Ricky Council IV,Guard,23,PHI,2001-08-03
106,Torrey Craig,Forward,34,BOS,1990-12-19
107,Isaiah Crawford,Forward,23,SAC,2001-11-01
108,Jae Crowder,Forward,34,SAC,1990-07-06
109,Cade Cunningham,Guard,23,DET,2001-09-25
110,Seth Curry,Guard,34,CHA,1990-08-23
111,Stephen Curry,Guard,37,GSW,1988-03-14
112,Pacôme Dadiet,Forward,19,NYK,2005-07-27
113,Dyson Daniels,Guard,22,ATL,2003-03-17
114,N'Faly Dante,Center,23,HOU,2001-10-19
115,Anthony Davis,Forward-Center,32,DAL,1993-03-11
116,Johnny Davis,Guard,23,FA,2002-02-27
117,Terence Davis,Guard,28,SAC,1997-05-16
118,JD Davison,Guard,22,BOS,2002-10-03
119,DeMar DeRozan,Guard-Forward,35,SAC,1989-08-07
120,RayJ Dennis,Guard,24,IND,2001-03-30
121,Donte DiVincenzo,Guard,28,MIN,1997-01-31
122,Moussa Diabaté,Forward,23,CHA,2002-01-21
123,Gradey Dick,Guard-Forward,21,TOR,2003-11-20
124,Ousmane Dieng,Forward,22,OKC,2003-05-21
125,Rob Dillingham,Guard,20,MIN,2005-01-04
126,Spencer Dinwiddie,Guard,32,DAL,1993-04-06
127,Luka Dončić,Forward-Guard,26,LAL,1999-02-28
128,Luguentz Dort,Guard,26,OKC,1999-04-19
129,Ayo Dosunmu,Guard,25,CHI,2000-01-17
130,Jeff Dowtin Jr.,Guard,28,PHI,1997-05-10
131,PJ Dozier,Guard-Forward,28,FA,1996-10-25
132,Andre Drummond,Center,31,PHI,1993-08-10
133,Chris Duarte,Guard,27,FA,1997-06-13
134,Alex Ducas,Guard,24,OKC,2000-12-11
135,David Duke Jr.,Guard,25,SAS,1999-10-13
136,Kris Dunn,Guard,31,LAC,1994-03-18
137,Ryan Dunn,Forward,22,PHX,2003-01-07
138,Kevin Durant,Forward,36,PHX,1988-09-29
139,Jalen Duren,Center,21,DET,2003-11-18
140,Tari Eason,Forward,24,HOU,2001-05-10
141,Zach Edey,Center,23,MEM,2002-05-14
142,Anthony Edwards,Guard,23,MIN,2001-08-05
143,Jesse Edwards,Center,25,MIN,2000-03-18
144,Justin Edwards,Forward,21,PHI,2003-12-16
145,Kessler Edwards,Forward,24,DAL,2000-08-09
146,Keon Ellis,Guard,25,SAC,2000-01-08
147,Joel Embiid,Center-Forward,31,PHI,1994-03-16
148,Tyson Etienne,Guard,25,BKN,1999-09-17
149,Drew Eubanks,Forward-Center,28,LAC,1997-02-01
150,Tosan Evbuomwan,Forward,24,BKN,2001-02-16
151,Danté Exum,Guard,29,DAL,1995-07-13
152,Bruno Fernando,Forward-Center,26,FA,1998-08-15
153,Kyle Filipowski,Center,21,UTA,2003-11-07
154,Dorian Finney-Smith,Forward,32,LAL,1993-05-04
155,Adam Flagler,Guard,25,OKC,1999-12-01
156,Trentyn Flowers,Forward,20,LAC,2005-03-08
157,Malachi Flynn,Guard,27,FA,1998-05-09
158,Simone Fontecchio,Forward,29,DET,1995-12-09
159,De'Aaron Fox,Guard,27,SAS,1997-12-20
160,Enrique Freeman,Forward,24,IND,2000-07-29
161,Markelle Fultz,Guard,27,SAC,1998-05-29
162,Johnny Furphy,Guard,20,IND,2004-12-08
163,Daniel Gafford,Forward-Center,26,DAL,1998-10-01
164,Darius Garland,Guard,25,CLE,2000-01-26
165,Marcus Garrett,Guard,26,FA,1998-11-09
166,Luka Garza,Center,26,MIN,1998-12-27
167,Keyonte George,Guard,21,UTA,2003-11-08
168,Kyshawn George,Forward,21,WAS,2003-12-12
169,Paul George,Forward,35,PHI,1990-05-02
170,Taj Gibson,Forward,39,CHA,1985-06-24
171,Josh Giddey,Guard,22,CHI,2002-10-10
172,Shai Gilgeous-Alexander,Guard,26,OKC,1998-07-12
173,Anthony Gill,Forward,32,WAS,1992-10-17
174,Collin Gillespie,Guard,25,PHX,1999-06-25
175,Rudy Gobert,Center,32,MIN,1992-06-26
176,Jordan Goodwin,Guard,26,LAL,1998-10-23
177,Aaron Gordon,Forward,29,DEN,1995-09-16
178,Eric Gordon,Guard,36,PHI,1988-12-25
179,Jazian Gortman,Guard,22,FA,2003-03-14
180,Jerami Grant,Forward,31,POR,1994-03-12
181,AJ Green,Guard,25,MIL,1999-09-27
182,Draymond Green,Forward,35,GSW,1990-03-04
183,Jalen Green,Guard,23,HOU,2002-02-09
184,Javonte Green,Guard,31,CLE,1993-07-23
185,Jeff Green,Forward,38,HOU,1986-08-28
186,Josh Green,Guard,24,CHA,2000-11-16
187,Quentin Grimes,Guard,25,PHI,2000-05-08
188,Mouhamed Gueye,Forward,22,ATL,2002-11-09
189,Rui Hachimura,Forward,27,LAL,1998-02-08
190,Tyrese Haliburton,Guard,25,IND,2000-02-29
191,PJ Hall,Center,23,DEN,2002-02-21
192,Tim Hardaway Jr.,Guard-Forward,33,DET,1992-03-16
193,James Harden,Guard,35,LAC,1989-08-26
194,Jaden Hardy,Guard,22,DAL,2002-07-05
195,Elijah Harkless,Guard,25,UTA,2000-02-03
196,Ron Harper Jr.,Guard-Forward,25,DET,2000-04-12
197,Gary Harris,Guard,30,ORL,1994-09-14
198,Tobias Harris,Forward,32,DET,1992-07-15
199,Josh Hart,Guard,30,NYK,1995-03-06
200,Isaiah Hartenstein,Center-Forward,27,OKC,1998-05-05
201,Sam Hauser,Forward,27,BOS,1997-12-08
202,Jordan Hawkins,Guard,23,NOP,2002-04-29
203,Jaxson Hayes,Center-Forward,25,LAL,2000-05-23
204,Killian Hayes,Guard,23,FA,2001-07-27
205,Scoot Henderson,Guard,21,POR,2004-02-03
206,Taylor Hendricks,Forward,21,UTA,2003-11-22
207,Tyler Herro,Guard,25,MIA,2000-01-20
208,Buddy Hield,Guard,32,GSW,1992-12-17
209,Haywood Highsmith,Forward,28,MIA,1996-12-09
210,Aaron Holiday,Guard,28,HOU,1996-09-30
211,Jrue Holiday,Guard,34,BOS,1990-06-12
212,Ronald Holland II,Forward,19,DET,2005-07-07
213,Richaun Holmes,Forward,31,WAS,1993-10-15
214,DaRon Holmes II,Forward,22,DEN,2002-08-15
215,Chet Holmgren,Center-Forward,23,OKC,2002-05-01
216,Jalen Hood-Schifino,Guard,21,PHI,2003-06-19
217,Al Horford,Center-Forward,39,BOS,1986-06-03
218,Talen Horton-Tucker,Guard,24,CHI,2000-11-25
219,Caleb Houstan,Guard,22,ORL,2003-01-09
220,Jett Howard,Guard,21,ORL,2003-09-14
221,Kevin Huerter,Guard-Forward,26,CHI,1998-08-27
222,Jay Huff,Center,27,MEM,1997-08-25
223,Ariel Hukporti,Center,23,NYK,2002-04-12
224,De'Andre Hunter,Forward-Guard,27,CLE,1997-12-02
225,Bones Hyland,Guard,24,MIN,2000-09-14
226,Oso Ighodaro,Forward,22,PHX,2002-07-14
227,Joe Ingles,Forward-Guard,37,MIN,1987-10-02
228,Brandon Ingram,Forward,27,TOR,1997-09-02
229,Harrison Ingram,Forward,22,SAS,2002-11-27
230,Kyrie Irving,Guard,33,DAL,1992-03-23
231,Jonathan Isaac,Forward,27,ORL,1997-10-03
232,Jaden Ivey,Guard,23,DET,2002-02-13
233,GG Jackson,Forward,20,MEM,2004-12-17
234,Isaiah Jackson,Forward,23,IND,2002-01-10
235,Quenton Jackson,Guard,26,IND,1998-09-15
236,Reggie Jackson,Guard,35,FA,1990-04-16
237,Andre Jackson Jr.,Guard,23,MIL,2001-11-13
238,Jaren Jackson Jr.,Forward-Center,25,MEM,1999-09-15
239,Trayce Jackson-Davis,Forward,25,GSW,2000-02-22
240,Bronny James,Guard,20,LAL,2004-10-06
241,LeBron James,Forward,40,LAL,1984-12-30
242,Jaime Jaquez Jr.,Guard,24,MIA,2001-02-18
243,DaQuan Jeffries,Guard-Forward,27,CHA,1997-08-30
244,Trey Jemison III,Center,25,LAL,1999-11-28
245,Daniss Jenkins,Guard,23,DET,2001-08-17
246,Ty Jerome,Guard-Forward,27,CLE,1997-07-08
247,Isaiah Joe,Guard,25,OKC,1999-07-02
248,AJ Johnson,Guard,20,WAS,2004-12-01
249,Cameron Johnson,Forward,29,BKN,1996-03-03
250,Jalen Johnson,Forward,23,ATL,2001-12-18
251,James Johnson,Forward,38,IND,1987-02-20
252,Keldon Johnson,Forward-Guard,25,SAS,1999-10-11
253,Keon Johnson,Guard,23,BKN,2002-03-10
254,Keshad Johnson,Forward,23,MIA,2001-06-23
255,Nikola Jokić,Center,30,DEN,1995-02-19
256,Colby Jones,Guard,23,WAS,2002-05-28
257,Dillon Jones,Forward,23,OKC,2001-10-29
258,Herbert Jones,Forward,26,NOP,1998-10-06
259,Isaac Jones,Forward,24,SAC,2000-07-11
260,Kai Jones,Center-Forward,24,DAL,2001-01-19
261,Mason Jones,Guard,26,SAC,1998-07-21
262,Spencer Jones,Forward,23,DEN,2001-06-14
263,Tre Jones,Guard,25,CHI,2000-01-08
264,Tyus Jones,Guard,29,PHX,1996-05-10
265,Derrick Jones Jr.,Forward,28,LAC,1997-02-15
266,DeAndre Jordan,Center,36,DEN,1988-07-21
267,Cory Joseph,Guard,33,ORL,1991-08-20
268,Nikola Jović,Forward,21,MIA,2003-06-09
269,Johnny Juzang,Guard,24,UTA,2001-03-17
270,Yuki Kawamura,Guard,24,MEM,2001-05-02
271,Kylor Kelley,Center,27,FA,1997-08-26
272,Luke Kennard,Guard,28,MEM,1996-06-24
273,Walker Kessler,Center,23,UTA,2001-07-26
274,Braxton Key,Forward,28,GSW,1997-02-14
275,Corey Kispert,Forward,26,WAS,1999-03-03
276,Maxi Kleber,Forward,33,LAL,1992-01-29
277,Bobi Klintman,Forward,22,DET,2003-03-06
278,Dalton Knecht,Forward,24,LAL,2001-04-19
279,Kevin Knox II,Forward,25,GSW,1999-08-11
280,Tyler Kolek,Guard,24,NYK,2001-03-27
281,Christian Koloko,Center,24,LAL,2000-06-20
282,John Konchar,Guard,29,MEM,1996-03-22
283,Luke Kornet,Center-Forward,29,BOS,1995-07-15
284,Vít Krejčí,Guard,24,ATL,2000-06-19
285,Jonathan Kuminga,Forward,22,GSW,2002-10-06
286,Kyle Kuzma,Forward,29,MIL,1995-07-24
287,Jake LaRavia,Forward,23,SAC,2001-11-03
288,Zach LaVine,Guard,30,SAC,1995-03-10
289,Skal Labissiere,Forward-Center,29,FA,1996-03-18
290,Jock Landale,Center,29,HOU,1995-10-25
291,Pelle Larsson,Guard,24,MIA,2001-02-23
292,A.J. Lawson,Guard,24,TOR,2000-07-15
293,Caris LeVert,Guard,30,ATL,1994-08-25
294,Damion Lee,Guard-Forward,32,PHX,1992-10-21
295,Alex Len,Center,31,LAL,1993-06-16
296,Kawhi Leonard,Forward,33,LAC,1991-06-29
297,Malevy Leons,Forward,25,FA,1999-09-23
298,Maxwell Lewis,Forward,22,BKN,2002-07-27
299,E.J. Liddell,Forward,24,CHI,2000-12-18
300,Damian Lillard,Guard,34,MIL,1990-07-15
301,Dereck Lively II,Center,21,DAL,2004-02-12
302,Chris Livingston,Forward,21,MIL,2003-10-15
303,Kevon Looney,Forward,29,GSW,1996-02-06
304,Brook Lopez,Center,37,MIL,1988-04-01
305,Kevin Love,Forward-Center,36,MIA,1988-09-07
306,Kyle Lowry,Guard,39,PHI,1986-03-25
307,Seth Lundy,Guard-Forward,25,LAC,2000-04-02
308,Trey Lyles,Forward,29,SAC,1995-11-05
309,Sandro Mamukelashvili,Forward-Center,26,SAS,1999-05-23
310,Terance Mann,Guard-Forward,28,ATL,1996-10-18
311,Tre Mann,Guard,24,CHA,2001-02-03
312,Lauri Markkanen,Forward-Center,28,UTA,1997-05-22
313,Naji Marshall,Forward,27,DAL,1998-01-24
314,Caleb Martin,Forward,29,DAL,1995-09-28
315,Cody Martin,Forward,29,PHX,1995-09-28
316,Jaylen Martin,Guard,21,WAS,2004-01-28
317,KJ Martin,Forward,24,UTA,2001-01-06
318,Tyrese Martin,Forward,26,BKN,1999-03-07
319,Garrison Mathews,Guard,28,ATL,1996-10-24
320,Bennedict Mathurin,Guard-Forward,22,IND,2002-06-19
321,Karlo Matković,Forward-Center,24,NOP,2001-03-30
322,Tyrese Maxey,Guard,24,PHI,2000-11-04
323,Miles McBride,Guard,24,NYK,2000-09-08
324,Jared McCain,Guard,21,PHI,2004-02-20
325,Mac McClung,Guard,26,ORL,1999-01-06
326,CJ McCollum,Guard,33,NOP,1991-09-19
327,T.J. McConnell,Guard,33,IND,1992-03-25
328,Kevin McCullar Jr.,Guard,24,NYK,2001-03-15
329,Jaden McDaniels,Forward,24,MIN,2000-09-29
330,Jalen McDaniels,Forward,27,FA,1998-01-31
331,Doug McDermott,Forward,33,SAC,1992-01-03
332,Bryce McGowens,Guard,22,POR,2002-11-08
333,Jordan McLaughlin,Guard,29,SAS,1996-04-09
334,Jack McVeigh,Guard-Forward,28,HOU,1996-06-27
335,De'Anthony Melton,Guard,27,BKN,1998-05-28
336,Sam Merrill,Guard,29,CLE,1996-05-15
337,Vasilije Micić,Guard,31,PHX,1994-01-13
338,Khris Middleton,Forward,33,WAS,1991-08-12
339,Brandon Miller,Forward,22,CHA,2002-11-22
340,Emanuel Miller,Forward,24,CHI,2000-06-19
341,Jordan Miller,Guard,25,LAC,2000-01-23
342,Leonard Miller,Forward,21,MIN,2003-11-26
343,Patty Mills,Guard,36,LAC,1988-08-11
344,Shake Milton,Guard,28,LAL,1996-09-26
345,Justin Minaya,Forward,26,POR,1999-03-26
346,Riley Minix,Forward,24,SAS,2000-09-22
347,Josh Minott,Forward,22,MIN,2002-11-25
348,Yves Missi,Center,21,NOP,2004-05-14
349,Ajay Mitchell,Guard,22,OKC,2002-06-25
350,Davion Mitchell,Guard,26,MIA,1998-09-05
351,Donovan Mitchell,Guard,28,CLE,1996-09-07
352,Evan Mobley,Center,23,CLE,2001-06-18
353,Isaiah Mobley,Forward,25,FA,1999-09-24
354,Jonathan Mogbo,Forward,23,TOR,2001-10-29
355,Malik Monk,Guard,27,SAC,1998-02-04
356,Moses Moody,Guard,23,GSW,2002-05-31
357,Tazé Moore,Guard,26,FA,1998-06-29
358,Wendell Moore Jr.,Guard,23,CHA,2001-09-18
359,Ja Morant,Guard,25,MEM,1999-08-10
360,Markieff Morris,Forward,35,LAL,1989-09-02
361,Monté Morris,Guard,29,PHX,1995-06-27
362,Trey Murphy III,Forward,24,NOP,2000-06-18
363,Dejounte Murray,Guard,28,NOP,1996-09-19
364,Jamal Murray,Guard,28,DEN,1997-02-23
365,Keegan Murray,Forward,24,SAC,2000-08-19
366,Kris Murray,Forward,24,POR,2000-08-19
367,Svi Mykhailiuk,Guard-Forward,27,UTA,1997-06-10
368,Pete Nance,Forward,25,MIL,2000-02-19
369,Larry Nance Jr.,Forward-Center,32,ATL,1993-01-01
370,Andrew Nembhard,Guard-Forward,25,IND,2000-01-16
371,Aaron Nesmith,Guard-Forward,25,IND,1999-10-16
372,Tristen Newton,Guard,24,MIN,2001-04-26
373,Georges Niang,Forward,31,ATL,1993-06-17
374,Daishen Nix,Guard,23,FA,2002-02-13
375,Zeke Nnaji,Forward-Center,24,DEN,2001-01-09
376,Miles Norris,Forward,25,BOS,2000-04-15
377,Jaylen Nowell,Guard,25,FA,1999-07-09
378,Jusuf Nurkić,Center,30,CHA,1994-08-23
379,Royce O'Neale,Forward,32,PHX,1993-06-05
380,Jahlil Okafor,Center-Forward,29,FA,1995-12-15
381,Chuma Okeke,Forward,26,CLE,1998-08-18
382,Josh Okogie,Guard,26,CHA,1998-09-01
383,Onyeka Okongwu,Forward-Center,24,ATL,2000-12-11
384,Isaac Okoro,Forward-Guard,24,CLE,2001-01-26
385,Quincy Olivari,Guard,24,FA,2001-05-27
386,Kelly Olynyk,Forward-Center,34,NOP,1991-04-19
387,Kelly Oubre Jr.,Forward-Guard,29,PHI,1995-12-09
388,Chris Paul,Guard,40,SAS,1985-05-06
389,Cameron Payne,Guard,30,NYK,1994-08-08
390,Elfrid Payton,Guard,31,NOP,1994-02-22
391,Gary Payton II,Guard,32,GSW,1992-12-01
392,Drew Peterson,Forward,25,BOS,1999-11-09
393,Julian Phillips,Forward,21,CHI,2003-11-05
394,Jalen Pickett,Guard,25,DEN,1999-10-22
395,Scotty Pippen Jr.,Guard,24,MEM,2000-11-10
396,Daeqwon Plowden,Guard-Forward,26,ATL,1998-08-29
397,Mason Plumlee,Forward-Center,35,PHX,1990-03-05
398,Brandin Podziemski,Guard,22,GSW,2003-02-25
399,Jakob Poeltl,Center,29,TOR,1995-10-15
400,Jordan Poole,Guard,25,WAS,1999-06-19
401,Craig Porter Jr.,Guard,25,CLE,2000-02-26
402,Kevin Porter Jr.,Guard-Forward,25,MIL,2000-05-04
403,Michael Porter Jr.,Forward,26,DEN,1998-06-29
404,Bobby Portis,Forward,30,MIL,1995-02-10
405,Kristaps Porziņģis,Forward-Center,29,BOS,1995-08-02
406,Quinten Post,Center,25,GSW,2000-03-21
407,Micah Potter,Center,27,UTA,1998-04-06
408,Dwight Powell,Forward-Center,33,DAL,1991-07-20
409,Norman Powell,Guard,32,LAC,1993-05-25
410,Taurean Prince,Forward,31,MIL,1994-03-22
411,Payton Pritchard,Guard,27,BOS,1998-01-28
412,Olivier-Maxence Prosper,Forward,22,DAL,2002-07-03
413,Zyon Pullin,Guard,24,MEM,2001-03-03
414,Trevelin Queen,Guard,28,ORL,1997-02-25
415,Neemias Queta,Center,25,BOS,1999-07-13
416,Immanuel Quickley,Guard,25,TOR,1999-06-17
417,Lester Quinones,Guard,24,NOP,2000-11-16
418,Julius Randle,Forward-Center,30,MIN,1994-11-29
419,Duop Reath,Center,28,POR,1996-06-26
420,Austin Reaves,Guard,27,LAL,1998-05-29
421,Cam Reddish,Forward-Guard,25,FA,1999-09-01
422,Paul Reed,Forward,25,DET,1999-06-14
423,Alex Reese,Forward-Center,26,PHI,1999-05-21
424,Antonio Reeves,Guard,22,NOP,2002-11-20
425,Naz Reid,Center-Forward,25,MIN,1999-08-26
426,Jared Rhoden,Guard,25,TOR,1999-08-27
427,Nick Richards,Center,27,PHX,1997-11-29
428,Josh Richardson,Guard,31,FA,1993-09-15
429,Zaccharie Risacher,Forward,20,ATL,2005-04-08
430,Liam Robbins,Center,25,FA,1999-07-12
431,Duncan Robinson,Forward,31,MIA,1994-04-22
432,Mitchell Robinson,Center-Forward,27,NYK,1998-04-01
433,Orlando Robinson,Center,24,FA,2000-07-10
434,Jeremiah Robinson-Earl,Forward,24,NOP,2000-11-03
435,David Roddy,Forward,24,HOU,2001-03-27
436,Ryan Rollins,Guard,22,MIL,2002-07-03
437,Jackson Rowe,Forward,28,GSW,1997-01-04
438,Terry Rozier,Guard,31,MIA,1994-03-17
439,Rayan Rupert,Guard-Forward,21,POR,2004-05-31
440,D'Angelo Russell,Guard,29,BKN,1996-02-23
441,Matt Ryan,Forward,28,FA,1997-04-17
442,Domantas Sabonis,Forward-Center,29,SAC,1996-05-03
443,Tidjane Salaün,Forward,19,CHA,2005-08-10
444,Adama Sanogo,Forward,23,FA,2002-02-12
445,Gui Santos,Forward,22,GSW,2002-06-22
446,Alex Sarr,Center,20,WAS,2005-04-26
447,Marcus Sasser,Guard,24,DET,2000-09-21
448,Baylor Scheierman,Guard,24,BOS,2000-09-26
449,Dennis Schröder,Guard,31,DET,1993-09-15
450,Alperen Sengun,Center,22,HOU,2002-07-25
451,Brice Sensabaugh,Forward,21,UTA,2003-10-30
452,Collin Sexton,Guard,26,UTA,1999-01-04
453,Landry Shamet,Guard,28,NYK,1997-03-13
454,Terrence Shannon Jr.,Guard-Forward,24,MIN,2000-07-30
455,Day'Ron Sharpe,Center,23,BKN,2001-11-06
456,Shaedon Sharpe,Guard,22,POR,2003-05-30
457,Jamal Shead,Guard,22,TOR,2002-07-24
458,Ben Sheppard,Guard,23,IND,2001-07-16
459,Reed Sheppard,Guard,20,HOU,2004-06-24
460,Pascal Siakam,Forward,31,IND,1994-04-02
461,Ben Simmons,Guard-Forward,28,LAC,1996-07-20
462,Anfernee Simons,Guard,26,POR,1999-06-08
463,KJ Simpson,Guard,22,CHA,2002-08-08
464,Jaylen Sims,Guard,26,FA,1998-12-11
465,Jericho Sims,Center,26,MIL,1998-10-20
466,Marcus Smart,Guard,31,WAS,1994-03-06
467,Dru Smith,Guard,27,MIA,1997-12-30
468,Jalen Smith,Forward-Center,25,CHI,2000-03-16
469,Tolu Smith,Forward,24,DET,2000-07-26
470,Tyler Smith,Forward,20,MIL,2004-11-02
471,Jabari Smith Jr.,Forward,22,HOU,2003-05-13
472,Nick Smith Jr.,Guard,21,CHA,2004-04-18
473,Jeremy Sochan,Forward,22,SAS,2003-05-20
474,Cam Spencer,Guard,25,MEM,2000-04-06
475,Pat Spencer,Guard,28,GSW,1996-07-04
476,Jaden Springer,Guard,22,UTA,2002-09-25
477,Isaiah Stevens,Guard,24,MIA,2000-11-01
478,Lamar Stevens,Forward,27,MEM,1997-07-09
479,Isaiah Stewart,Forward-Center,24,DET,2001-05-22
480,Julian Strawther,Guard,23,DEN,2002-04-18
481,Max Strus,Guard-Forward,29,CLE,1996-03-28
482,Jalen Suggs,Guard,24,ORL,2001-06-03
483,Cole Swider,Forward,26,FA,1999-05-08
484,Jae'Sean Tate,Forward,29,HOU,1995-10-28
485,Jayson Tatum,Forward-Guard,27,BOS,1998-03-03
486,Terry Taylor,Forward,25,FA,1999-09-23
487,Garrett Temple,Guard-Forward,39,TOR,1986-05-08
488,Dalen Terry,Forward,22,CHI,2002-07-12
489,Daniel Theis,Forward-Center,33,FA,1992-04-04
490,Cam Thomas,Guard,23,BKN,2001-10-13
491,Amen Thompson,Guard-Forward,22,HOU,2003-01-30
492,Ausar Thompson,Guard-Forward,22,DET,2003-01-30
